N, Search Ops, Balance Ops
879, 6662, 428
880, 6671, 428
881, 6680, 430
882, 6690, 430
883, 6700, 432
884, 6709, 432
885, 6714, 432
886, 6719, 432
887, 6728, 432
888, 6736, 432
889, 6745, 433
890, 6753, 433
891, 6763, 435
892, 6770, 435
893, 6777, 435
894, 6785, 435
895, 6794, 436
896, 6803, 436
897, 6811, 436
898, 6820, 438
899, 6828, 438
900, 6834, 438
901, 6837, 438
902, 6846, 438
903, 6854, 438
904, 6860, 438
905, 6867, 438
906, 6877, 438
907, 6887, 439
908, 6895, 439
909, 6903, 439
910, 6912, 439
911, 6922, 441
912, 6929, 441
913, 6939, 441
914, 6947, 441
915, 6951, 441
916, 6958, 441
917, 6967, 441
918, 6975, 441
919, 6985, 441
920, 6989, 441
921, 6999, 441
922, 7007, 441
923, 7015, 441
924, 7024, 441
925, 7034, 442
926, 7043, 442
927, 7054, 444
928, 7062, 444
929, 7064, 444
930, 7074, 444
931, 7083, 444
932, 7093, 446
933, 7102, 446
934, 7110, 446
935, 7119, 447
936, 7124, 447
937, 7134, 447
938, 7141, 447
939, 7149, 447
940, 7155, 447
941, 7164, 447
942, 7170, 447
943, 7175, 447
944, 7183, 447
945, 7192, 447
946, 7198, 447
947, 7207, 447
948, 7217, 449
949, 7226, 449
950, 7235, 450
951, 7243, 450
952, 7253, 450
953, 7262, 452
954, 7269, 452
955, 7278, 452
956, 7287, 454
957, 7294, 454
958, 7303, 454
959, 7311, 454
960, 7318, 454
961, 7328, 454
962, 7336, 454
963, 7346, 456
964, 7354, 456
965, 7363, 456
966, 7373, 456
967, 7381, 456
968, 7391, 457
969, 7398, 457
970, 7405, 457
971, 7411, 457
972, 7419, 457
973, 7427, 457
974, 7434, 457
975, 7444, 459
976, 7453, 459
977, 7461, 459
978, 7469, 459
979, 7477, 459
980, 7484, 459
981, 7493, 459
982, 7499, 459
983, 7508, 461
984, 7513, 461
985, 7520, 461
986, 7527, 461
987, 7537, 461
988, 7548, 462
989, 7557, 462
990, 7565, 462
991, 7573, 462
992, 7582, 462
993, 7591, 462
994, 7601, 463
995, 7609, 463
996, 7618, 463
997, 7626, 463
998, 7635, 463
999, 7645, 463
1000, 7652, 463
